freq;euc;cana;ban;coco;cafe;gesso
761.09;48.44;34.10;59.85;37.15;27.97;55.22
772.16;48.54;34.22;59.43;37.50;27.96;54.91
783.39;48.40;34.27;58.69;37.59;28.02;54.80
794.79;47.75;34.21;57.61;37.22;28.15;54.76
806.35;46.47;34.04;56.22;36.31;28.34;54.71
818.08;44.70;33.78;54.65;34.97;28.61;54.61
829.98;42.84;33.51;53.00;33.41;28.96;54.50
842.05;41.19;33.30;51.37;31.88;29.36;54.46
854.30;39.85;33.21;49.82;30.55;29.77;54.54
866.72;38.72;33.26;48.46;29.53;30.13;54.67
879.33;37.74;33.45;47.36;28.85;30.37;54.75
892.12;36.91;33.76;46.57;28.50;30.45;54.67
905.10;36.30;34.12;46.04;28.39;30.38;54.47
918.26;35.97;34.49;45.65;28.44;30.18;54.26
931.62;35.93;34.80;45.29;28.54;29.90;54.12
945.17;36.10;35.00;44.92;28.62;29.59;54.06
958.92;36.38;35.08;44.58;28.62;29.30;54.02
972.86;36.69;35.02;44.32;28.47;29.09;53.95
987.02;36.99;34.82;44.11;28.17;28.97;53.82
1001.37;37.25;34.52;43.91;27.73;28.94;53.63
1015.94;37.46;34.14;43.69;27.20;28.92;53.43
1030.71;37.61;33.72;43.44;26.67;28.85;53.25
1045.71;37.66;33.25;43.14;26.18;28.68;53.11
1060.92;37.61;32.74;42.76;25.73;28.38;52.99
1076.35;37.46;32.20;42.30;25.31;27.97;52.85
1092.00;37.16;31.63;41.78;24.88;27.48;52.65
1107.89;36.74;31.09;41.22;24.41;26.94;52.38
1124.00;36.25;30.63;40.68;23.92;26.40;52.07
1140.35;35.82;30.32;40.23;23.44;25.92;51.77
1156.94;35.57;30.22;39.90;23.05;25.53;51.55
1173.77;35.56;30.35;39.74;22.79;25.26;51.46
1190.84;35.83;30.69;39.76;22.70;25.14;51.52
1208.16;36.35;31.19;39.93;22.76;25.14;51.74
1225.73;37.02;31.81;40.24;22.97;25.25;52.10
1243.56;37.73;32.49;40.64;23.28;25.45;52.58
1261.65;38.27;33.20;41.12;23.66;25.70;53.14
1280.00;38.49;33.91;41.66;24.09;25.97;53.69
1298.62;38.31;34.64;42.24;24.56;26.24;54.13
1317.51;37.81;35.37;42.83;25.08;26.46;54.37
1336.67;37.16;36.08;43.37;25.65;26.61;54.40
1356.11;36.50;36.75;43.78;26.25;26.66;54.26
1375.84;35.90;37.37;44.02;26.81;26.58;54.03
1395.85;35.41;37.95;44.09;27.21;26.38;53.78
1416.15;35.11;38.46;44.01;27.32;26.07;53.57
1436.75;35.06;38.87;43.78;27.00;25.64;53.42
1457.65;35.22;39.12;43.35;26.23;25.11;53.28
1478.85;35.49;39.17;42.73;25.09;24.48;53.11
1500.36;35.73;39.01;41.96;23.80;23.85;52.89
1522.19;35.97;38.71;41.23;22.65;23.40;52.62
1544.33;36.35;38.41;40.91;21.95;23.32;52.38
1566.79;37.08;38.31;41.37;21.93;23.78;52.26
1589.58;38.27;38.63;42.71;22.66;24.77;52.28
1612.70;39.90;39.53;44.58;24.01;26.15;52.39
1636.16;41.77;41.04;46.31;25.78;27.75;52.60
1659.96;43.46;42.97;47.51;27.74;29.44;52.90
1684.10;44.55;45.05;48.16;29.69;31.04;53.27
1708.60;45.03;47.02;48.51;31.50;32.28;53.64
1733.45;45.28;48.72;48.81;33.14;32.83;53.98
1758.66;45.79;50.07;49.16;34.66;32.54;54.24
1784.24;46.81;51.08;49.61;36.14;31.59;54.42
1810.19;48.24;51.79;50.08;37.70;30.36;54.55
1836.52;49.69;52.25;50.54;39.30;29.13;54.66
1863.24;50.67;52.53;50.91;40.75;28.05;54.84
1890.34;50.82;52.69;51.18;41.74;27.17;55.16
1917.83;50.04;52.82;51.31;42.03;26.48;55.68
1945.73;48.48;53.00;51.32;41.64;25.93;56.44
1974.03;46.47;53.29;51.23;40.76;25.44;57.40
2002.74;44.49;53.69;51.10;39.59;24.97;58.44
2031.87;43.02;54.04;50.99;38.32;24.57;59.33
2061.43;42.45;54.14;50.99;37.13;24.33;59.83
2091.41;42.98;53.93;51.16;36.21;24.38;59.78
2121.83;44.56;53.64;51.52;35.71;24.81;59.28
2152.70;46.87;53.58;51.97;35.63;25.60;58.61
2184.01;49.29;53.93;52.38;35.87;26.63;58.02
2215.77;51.20;54.58;52.63;36.25;27.74;57.62
2248.00;52.22;55.26;52.67;36.63;28.79;57.38
2280.70;52.37;55.72;52.53;36.92;29.70;57.20
2313.87;52.01;55.81;52.30;37.13;30.46;57.05
2347.53;51.63;55.58;52.12;37.32;31.13;56.98
2381.68;51.50;55.22;52.07;37.59;31.88;57.13
2416.32;51.61;54.93;52.19;37.98;32.88;57.56
2451.46;51.83;54.82;52.39;38.45;34.17;58.24
2487.12;52.11;54.84;52.57;38.88;35.50;58.99
2523.30;52.40;54.87;52.73;39.12;36.40;59.63
2560.00;52.59;54.80;52.91;39.10;36.45;60.04
2597.24;52.50;54.54;53.14;38.83;35.55;60.24
2635.01;51.98;54.12;53.37;38.41;34.00;60.32
2673.34;50.97;53.55;53.45;37.97;32.22;60.40
2712.23;49.61;52.91;53.30;37.62;30.65;60.51
2751.68;48.20;52.32;53.02;37.41;29.47;60.58
2791.70;47.05;51.96;52.78;37.36;28.65;60.60
2832.31;46.35;51.98;52.68;37.41;28.05;60.58
2873.50;46.14;52.47;52.73;37.53;27.52;60.51
2915.30;46.31;53.36;52.90;37.71;27.04;60.34
2957.70;46.71;54.40;53.15;37.99;26.66;60.02
3000.72;47.18;55.21;53.46;38.40;26.50;59.72
3044.37;47.56;55.49;53.85;38.94;26.59;59.60
3088.65;47.84;55.28;54.35;39.65;26.96;59.81
3133.58;48.16;55.02;54.93;40.62;27.56;60.38
3179.16;48.62;55.23;55.47;41.92;28.26;61.24
3225.40;49.15;56.14;55.84;43.45;28.90;62.19
3272.31;49.48;57.53;55.98;44.94;29.40;62.92
3319.91;49.35;58.83;55.89;46.11;29.86;63.13
3368.20;48.74;59.45;55.56;46.89;30.50;62.74
3417.19;48.03;59.14;55.06;47.49;31.45;61.95
3466.89;47.74;58.13;54.57;48.23;32.61;61.02
3517.32;47.96;56.94;54.41;49.17;33.77;60.12
3568.48;48.28;56.08;54.67;50.08;34.74;59.41
3620.39;48.26;55.83;55.15;50.75;35.48;59.01
3673.05;47.90;56.19;55.43;51.06;35.99;59.08
3726.47;47.45;56.83;55.27;50.68;36.19;59.59
3780.68;47.09;57.30;54.79;49.24;35.91;60.28
3835.67;46.87;57.31;54.36;46.78;35.08;60.86
3891.46;46.67;57.02;54.40;43.83;33.80;61.19
3948.06;46.34;56.89;55.02;41.23;32.42;61.32
4005.49;45.82;57.19;55.86;39.60;31.38;61.49
4063.75;45.31;57.69;56.26;38.94;30.93;61.95
4122.86;44.98;58.03;55.82;38.69;30.89;62.62
4182.82;44.95;58.17;54.83;38.21;30.86;63.08
4243.66;45.50;58.40;53.99;37.41;30.64;62.87
4305.39;46.95;58.86;53.85;36.77;30.37;61.97
4368.01;49.25;59.34;54.46;36.81;30.24;60.88
4431.55;51.80;59.49;55.48;37.43;30.08;59.94
4496.01;53.80;59.30;56.38;37.95;29.49;58.99
4561.40;54.87;59.05;56.79;37.84;28.35;57.84
4627.75;55.22;58.99;56.69;37.25;27.19;56.75
4695.06;55.34;59.06;56.38;36.79;26.77;56.34
4763.35;55.58;58.96;56.16;36.90;27.45;56.87
4832.64;55.97;58.47;56.24;37.40;28.74;58.02
4902.93;56.26;57.73;56.85;37.98;29.94;59.30
4974.24;56.15;57.06;57.96;38.58;30.82;60.48
5046.60;55.62;56.70;59.07;39.28;31.73;61.52
5120.00;55.05;56.66;59.53;39.97;33.01;62.38
5194.47;54.78;56.88;59.29;40.53;34.47;63.09
5270.03;54.88;57.34;58.87;41.03;35.65;63.88
5346.68;55.23;58.04;58.84;41.79;36.51;64.99
5424.45;55.69;58.89;59.19;43.00;37.33;66.35
5503.35;55.99;59.78;59.42;44.48;38.15;67.60
5583.40;55.85;60.62;59.17;45.84;38.70;68.40
5664.61;55.21;61.37;58.62;46.84;38.88;68.75
5747.01;54.40;61.96;58.20;47.47;38.98;68.86
5830.60;53.95;62.27;58.12;47.74;39.33;68.84
5915.41;54.13;62.30;58.23;47.72;39.95;68.67
6001.45;54.86;62.12;58.28;47.56;40.58;68.39
6088.74;55.81;61.75;58.22;47.51;40.95;68.12
6177.30;56.73;61.20;58.28;47.65;41.05;67.89
6267.15;57.42;60.52;58.57;47.86;40.95;67.57
6358.31;57.70;59.92;58.85;47.93;40.69;66.94
6450.80;57.60;59.67;58.78;47.76;40.40;65.91
6544.63;57.33;59.77;58.29;47.32;40.20;64.64
6639.82;57.19;60.07;57.56;46.67;40.17;63.38
6736.40;57.26;60.39;56.56;46.02;40.29;62.24
6834.38;57.40;60.63;55.11;45.47;40.49;61.15
6933.79;57.46;60.70;53.25;44.80;40.65;59.90
7034.64;57.33;60.47;51.33;43.55;40.69;58.29
7136.96;56.84;59.89;49.71;41.50;40.47;56.27
7240.77;55.87;59.01;48.39;38.89;39.82;54.05
7346.09;54.34;57.79;47.04;36.19;38.61;51.87
7452.94;52.20;56.16;45.48;33.80;36.99;49.95
7561.35;49.67;54.24;43.91;32.00;35.33;48.50
7671.33;47.54;52.39;42.59;30.94;33.91;47.61
7782.92;46.75;51.14;41.74;30.54;32.82;47.22
7896.12;47.62;51.05;41.48;30.73;32.22;47.43
8010.97;49.59;52.19;41.97;31.67;32.36;48.48
8127.49;51.80;54.03;43.19;33.43;33.33;50.35
8245.71;53.51;55.92;44.92;35.59;34.84;52.61
